All of the following are examples of connective tissue EXCEPT,tendons,skin,muscle,blood,cartilage,lymph,nerves,adipose tissue,bone,ligaments,C,ori_mmlu-high_school_biology
The light reactions of photosynthesis supply the Calvin cycle with which of the following?,CO2 released by the light-dependent reactions provides the raw material for the Calvin cycle.,The light reactions provide oxygen for the light-independent reactions.,Water entering the plant through the roots provides hydrogen directly to the Calvin cycle.,ATP and NADPH provide the power and raw materials for the Calvin cycle.,The light reactions provide nitrogen to the Calvin cycle for protein synthesis.,Glucose and fructose are supplied to the Calvin cycle by the light reactions.,The light reactions supply the Calvin cycle with sunlight directly.,ATP and NADPH are broken down in the light reactions to supply the Calvin cycle with energy.,The light reactions provide carbon dioxide for the light-independent reactions.,The light reactions supply the Calvin cycle with water and oxygen.,D,ori_mmlu-high_school_biology
"Mules are relatively long-lived and hardy organisms that cannot, generally speaking, perform successful meiosis. Consequently, which statement about mules is true?",They can reproduce asexually.,They can produce viable gametes through mitosis.,They have a relative evolutionary fitness of zero.,Their offspring are always genetically identical to the parents.,They cannot produce offspring due to lack of genetic variation.,"If crossing-over happens in mules, then it must be limited to prophase of mitosis.",Their offspring have less genetic variation than the parents.,Their DNA is structurally different from other organisms.,They have a higher rate of genetic mutation than other organisms.,Mutations cannot occur in their genomes.,C,ori_mmlu-high_school_biology
All of the following statements are true EXCEPT,testosterone decreases muscle mass and strength,insulin decreases storage of glycogen,progesterone stimulates the production of milk,growth hormone stimulates cell division and protein synthesis,glucagon increases the storage of glycogen in the liver,epinephrine increases blood sugar levels and heart rate,cortisol decreases glucose levels in the blood,thyroxine increases the rate of metabolism,estrogen inhibits the development of secondary sexual characteristics,vasopressin stimulates water reabsorption in the kidney,B,ori_mmlu-high_school_biology
Which of the following statements best describes what a Barr body is and its significance?,It is an activated X chromosome and results in females who are sterile.,It is an inactivated Y chromosome and results in a man appearing female.,It is an inactivated X chromosome and results in males with half their cells having one X inactivated and the other half of their cells having the other X inactivated.,It is an inactivated X chromosome and results in females with half their cells having one X inactivated and the other half of their cells having the other X inactivated.,It is an activated X chromosome and results in females with all their cells having one X activated.,It is an inactivated Y chromosome and results in a man being sterile.,"It is an inactivated Y chromosome, and the person who has it appears female.",It is an activated Y chromosome and results in males with half their cells having one Y activated.,It is an inactivated X chromosome and results in males being sterile.,It is an inactivated X chromosome and results in females who are sterile.,D,ori_mmlu-high_school_biology
"In minks, the gene for brown fur (B) is dominant over the gene for silver fur (b). Which set of genotypes represents a cross that could produce offspring with silver fur from parents that both have brown fur?",bB bB,bb bb,Bb BB,Bb Bb,Bb bb,BB Bb,bb Bb,BB BB,Bb Bb Bb,BB bb,D,ori_mmlu-high_school_biology
"If, on average, 46% of the loci in a species' gene pool are heterozygous, then the average homozygosity of the species should be",54%,36%,76%,100%,92%,64%,46%,56%,86%,23%,A,ori_mmlu-high_school_biology
Which of these is a statement that Darwin would have rejected?,Evolution can occur without the influence of natural selection.,The smallest entity that can evolve is an individual organism.,Natural selection is the only mechanism through which evolution can occur.,Evolution occurs through a process of random mutation and natural selection.,Evolution does not necessarily lead to more complex organisms.,The process of evolution can be observed in a human's lifetime.,Individuals can acquire new characteristics as they respond to new environments or situations.,Inherited variation in a population is a necessary precondition for natural selection to operate.,Species evolve over time to better suit their environment.,Environmental change plays a role in evolution.,B,ori_mmlu-high_school_biology
Which of the following statements most detracts from the claim that the human appendix is a completely vestigial organ?,The size of the appendix varies greatly among individuals.,Individuals with a larger-than-average appendix leave fewer offspring than those with a below-average-sized appendix.,The appendix is located near the large intestine.,The appendix is not present in all mammal species.,The appendix can be surgically removed with no immediate ill effects.,The appendix might have been larger in fossil hominids.,The appendix has a substantial amount of defensive lymphatic tissue.,The appendix is often inflamed in cases of appendicitis.,Many people live healthy lives without an appendix after it's been removed.,The appendix has no known function in digestion.,G,ori_mmlu-high_school_biology
Two related species evolve in a way that makes them less similar.,Coevolution,Punctuated equilibrium,Directional selection,Divergent evolution,Convergent evolution,Gradualism,Speciation,Adaptive radiation,Parallel evolution,Stabilizing selection,D,ori_mmlu-high_school_biology
Mosquitoes resistant to the pesticide DDT first appeared in India in 1959 within 15 years of widespread spraying of the insecticide. Which of the following statement best explains how the resistant mosquitoes arose?,The mosquitoes reproduced at such a fast rate that they evolved to become resistant to DDT.,"Although DDT is effective against a wide range of insects, it is not effective against mosquitoes.",Some mosquitoes experienced a mutation after being exposed to DDT that made them resistant to the insecticide. Then their population expanded because these moquitoes had no competition.,The mosquitoes developed a resistance because the DDT used was of a lesser concentration.,The mosquitoes developed a resistance to DDT over time due to constant exposure.,DDT is generally a very effective insecticide. One can only conclude that it was manufactured improperly.,The resistant mosquitoes were imported from a different area where DDT was not used.,"All the mosquitoes were initially resistant to DDT, but the resistant ones were better at surviving.",Some mosquitoes were already resistant to DDT when DDT was first sprayed. Then their population expanded because all the susceptible mosquitoes had been exterminated.,"The mosquitoes were initially resistant to DDT, but due to a mutation, they lost their resistance.",I,ori_mmlu-high_school_biology
Which statement about variation is true?,All nucleotide variability results in significant phenotypic changes.,All phenotypic variation is the result of environmental factors.,All phenotypic variation is the result of genotypic variation.,All genetic variation is the result of mutations.,All nucleotide variability results in neutral variation.,All new alleles are the result of environmental adaptation.,All phenotypic variation is the result of genetic and environmental factors.,All genetic variation is neutral and has no effect on the phenotype.,All new alleles are the result of nucleotide variability.,All genetic variation produces phenotypic variation.,I,ori_mmlu-high_school_biology
Which of the following is a biotic factor that could affect the growth rate of a population?,Flash flood,Tsunami,Sudden reduction in the animal food resource,Destruction of the ozone layer,Drought,Increase in the plant food resource,Earthquake,Solar radiation,Volcanic eruption,Glacier melting,D,ori_mmlu-high_school_biology
"It has been observed that organisms on islands are different from, but closely related to, similar forms found on the nearest continent. This is taken as evidence that",0,common environments are inhabited by the same organisms.,the islands were originally part of the continent.,the organisms on the island and the continent share a common ancestor.,the island forms and mainland forms are converging.,the organisms on the island have been isolated from the continent for a long time.,the organisms on the island are the result of multiple colonization events.,the organisms on the island have evolved faster than those on the continent.,the organisms on the islands are the result of a single colonization event.,the islands and the continent were formed at the same time.,A,ori_mmlu-high_school_biology
The Krebs cycle in humans occurs in the,peroxisome,cytoplasm,nucleus,intermembrane space,outer mitochondrial membrane,endoplasmic reticulum,mitochondrial matrix,lysosome,Golgi apparatus,inner mitochondrial membrane,G,ori_mmlu-high_school_biology
"Ichthyosaurs were aquatic dinosaurs. Fossils show us that they had dorsal fins and tails, as do fish, even though their closest relatives were terrestrial reptiles that had neither dorsal fins nor aquatic tails. The dorsal fins and tails of ichthyosaurs and fish are",examples of divergent evolution.,caused by the same gene.,examples of convergent evolution.,E and F only,homologous.,A and C only.,B and C only,results of genetic mutation.,adaptations to different environments.,adaptations to a common environment.,G,ori_mmlu-high_school_biology
During which phase of the cell cycle does the quantity of DNA in a eukaryotic cell typically double?,Telophase,G_2,Prophase,Interphase,Metaphase,Cytokinesis,G_1,Anaphase,S,M,I,ori_mmlu-high_school_biology
Short sequence by promoter that assists transcription by interacting with regulatory proteins.,Promoter,Inducer,Repressor,Operator,Inhibitor,Enhancer,Terminator,Activator,Silencer,Transducer,D,ori_mmlu-high_school_biology
Hydrangea flowers have one gene for flower color. Plants of the same genetic variety have flowers that range in color from blue to pink with the color varying due to the type of soil in which they are grown. Which of the following statement best explains this phenomenon?,The flower color is a result of genetic drift within the population.,"In this case, the environment alters the expression of a trait.",The genes for flower color show polygenic inheritance.,The alleles for flower color are codominant; both traits show depending on the environment.,The flower color is a result of multiple alleles interacting.,The flower color is a result of the plant's age.,The alleles for flower color show incomplete dominance where neither trait is dominant; expression of the genes shows a blending of traits.,The flower color is determined by the type of pollinators in the area.,The flower color is determined by the amount of sunlight the plant receives.,The flower color changes due to genetic mutation over time.,B,ori_mmlu-high_school_biology
"When imbalances occur in the sex ratio of sexual species that have two sexes (i.e., other than a 50:50 ratio), the members of the minority sex often receive a greater proportion of care and resources from parents than do the offspring of the majority sex. This is most clearly an example of",artificial selection.,sexual selection.,frequency-dependent selection.,directional selection.,kin selection.,stabilizing selection.,intra-sexual selection.,balancing selection.,disruptive selection.,natural selection.,C,ori_mmlu-high_school_biology
"Although mutations occur at a regular and predictable rate, which of the following statements is the LEAST likely reason the frequency of mutation appears to be low?",The predictable rate of mutation results in ongoing variability in a gene pool.,Many mutations are neutral and do not affect the phenotype.,The rate of mutation is too rapid to be measured accurately.,Some undesirable phenotypic traits may be prevented from reproducing.,Some mutations produce alleles that are recessive and may not be expressed.,Some mutations are immediately lethal and removed from the gene pool.,The frequency of mutation is suppressed by natural selection.,Some mutations are beneficial and increase survival rates.,Some mutations cause such drastic phenotypic changes that they are removed from the gene pool.,Some mutations may not affect the coding sequence of a gene.,A,ori_mmlu-high_school_biology
Crossover would most likely occur in which situation?,Gene 1 is located on chromosome A; gene 2 is located far away but on the same chromosome.,Genes 1 and 2 are located on the same chromosome but are not linked.,Genes 1 and 2 are located near each other on the X chromosome.,"Gene 1 is on chromosome A; gene 2 is on chromosome B, but they are not linked.",Genes 1 and 2 are located on different chromosomes and are not homologous.,"Gene 1 is on chromosome A, and gene 2 is on a non-homologous chromosome.",Two genes (1 and 2) are located right next to each other on chromosome A.,"Gene 1 is located on chromosome A, and gene 2 is on chromosome B.",Genes 1 and 2 are located on different arms of the same chromosome.,Two genes are located closely on an unpaired chromosome.,A,ori_mmlu-high_school_biology
This biome contains plants whose roots cannot go deep due to the presence of a permafrost.,Savanna,Taiga,Tundra,Chaparral,Alpine,Grassland,Desert,Wetlands,Deciduous forests,Rainforest,B,ori_mmlu-high_school_biology
A change in a neuron membrane potential from +50 millivolts to -70 millivolts is considered,a threshold potential,hyperpolarization,an action potential,an equilibrium potential,a resting potential,a graded potential,depolarization,a synapse potential,a refractory period,repolarization,J,ori_mmlu-high_school_biology
All of the following play a role in morphogenesis EXCEPT,homeotic genes,cell division,signal transduction,cell differentiation,apoptosis,transcription factors,operons,cell migration,gene expression,inductive effects,G,ori_mmlu-high_school_biology
"Most animal cells, regardless of species, are relatively small and about the same size. Relative to larger cells, why is this?",Smaller cells are more resilient to external damage.,Smaller cells have a larger number of organelles.,Smaller cells require less energy to function.,Smaller cells can multiply faster.,Smaller cells fit together more tightly.,Smaller cells have a larger surface-to-volume ratio.,Smaller cells are easier to regenerate.,Smaller cells have a smaller number of organelles.,Smaller cells have a smaller surface-to-volume ratio.,Smaller cells avoid excessive osmosis and subsequent lysis.,F,ori_mmlu-high_school_biology
"In modern terminology, diversity is understood to be a result of genetic variation. Sources of variation for evolution include all of the following except",random mutations in DNA sequence,translocations and mistakes in meiosis.,adaptations to changing environments,exposure to environmental factors,changes due to genetic drift,recombination at fertilization.,changes in gene expression due to epigenetic factors,mistakes in DNA replication.,mistakes in translation of structural genes.,natural selection and survival of the fittest,I,ori_mmlu-high_school_biology
"Within a few weeks of treatment with the drug 3TC, a patient's HIV population consists entirely of 3TC-resistant viruses. How can this result best be explained?",The patient was initially infected with a 3TC-resistant strain of the virus.,"The patient's immune system developed a resistance to 3TC, causing the drug to become ineffective.","The 3TC drug triggered a mutation in the HIV virus, causing it to become resistant.",The patient's body started producing 3TC-resistant viruses in response to the drug treatment.,"A few drug-resistant viruses were present at the start of treatment, and natural selection increased their frequency.",The HIV virus can naturally resist any form of drug treatment.,The patient must have become reinfected with 3TC-resistant viruses.,HIV began making drug-resistant versions of reverse transcriptase in response to the drug.,The 3TC drug led to an increase in the production of HIV viruses.,HIV can change its surface proteins and resist vaccines.,E,ori_mmlu-high_school_biology
"The higher the proportion of loci that are ""fixed"" in a population, the lower is that population's",A and C only,genetic polyploidy.,average heterozygosity.,chromosomal variability.,nucleotide variability.,genetic monoploidy.,A and B only,genetic diploidy.,B and C only,genetic diversity.,A,ori_mmlu-high_school_biology
Most Swiss starlings produce four to five eggs in each clutch. Those producing fewer or more than this have reduced fitness. Which of the following terms best describes this?,sexual selection,stabilizing selection,artificial selection,negative selection,balancing selection,kin selection,natural selection,disruptive selection,directional selection,positive selection,B,ori_mmlu-high_school_biology
"When driving from east to west in the U.S. from a forest ecosystem to grasslands, trees gradually give way to grasses. Which of the following is the critical factor responsible for this shift?",Wind speed,Amount of Carbon Dioxide,Availability of water,Amount of sunlight,Length of growing season,Availability of oxygen,Availability of nitrogen,Soil type,Temperature,Altitude,C,ori_mmlu-high_school_biology
"Within a cell, the amount of protein synthesized using a given mRNA molecule depends in part on which of the following?",The amount of protein synthesized is determined by the rate of cell division.,The age of the cell will determine how much protein is synthesized.,The amount of protein synthesized is determined by the amount of DNA replication.,The location and number of ribosomes in a cell will solely determine how much protein is synthesized.,The type of cell will solely determine how much protein is synthesized.,DNA methylation suppresses the expression of genes.,The size of the nucleus will determine how much protein is synthesized.,The number of chromosomes in a cell determines how much protein is synthesized.,"Transcription factors mediate the binding of RNA polymerase and the initiation of transcription, which will determine how much protein is manufactured.",The speed with which mRNA is degraded will determine how much protein is synthesized.,J,ori_mmlu-high_school_biology
"A rooster with gray feathers and a hen with the same phenotype produce 17 gray, 7 black, and 8 white chicks. What is the simplest explanation for the inheritance of these colors in chickens?",The trait for gray is epistatic over the trait for black.,The traits for gray and white color demonstrate incomplete dominance.,The trait for black is epistatic over the trait for white.,The traits for black and white color demonstrate codominance.,The trait for white is epistatic over the trait for gray.,The traits for black and white color demonstrate incomplete dominance.,"The traits for black, gray and white colors demonstrate complete dominance.",The traits for gray and black color demonstrate codominance.,The trait for gray is epistatic over the trait for white.,The trait for black is epistatic over the trait for gray.,F,ori_mmlu-high_school_biology
Which of the following principles is NOT part of Darwin's theory of evolution by natural selection?,Evolution does not occur within an individual's lifespan.,Natural selection favors traits that are beneficial for survival.,Evolution occurs in response to changes in the environment.,Every population has tremendous variation.,"Species can develop new traits during their lifetime, which they can pass on to their offspring.",Survival of the fittest ensures that only the strongest survive.,Evolution is a gradual process that occurs over a long period of time.,Every species has the potential to evolve.,"Organisms will overpopulate area, giving rise to competition.",Mutations are the main source of all variation in a population.,J,ori_mmlu-high_school_biology
Chemical substances released by organisms that elicit a physiological or behavioral response in other members of the same species are known as,auxins,neurotransmitters,enzymes,hormones,pheromones,cytokines,antigens,antigens,proteins,antibodies,E,ori_mmlu-high_school_biology
"In reference to a segment of DNA, which of the following molecules contains the fewest number of nucleotides?",the tRNA transcript from the original DNA,a single strand of the original DNA segment after a substitution mutation,the final processed mRNA made from the original DNA,the primary RNA transcript (after splicing) from the original DNA,a single strand of the original DNA segment after a duplication mutation,the primary RNA transcript (before splicing) from the original DNA,a single strand of the original DNA segment after a deletion mutation,a single strand of the original DNA segment,a single strand of complementary DNA (cDNA) made from the original DNA,a single strand of the original DNA segment after a point mutation,I,ori_mmlu-high_school_biology
Imagine an organism whose 2n = 96. Meiosis would leave this organism’s cells with how many chromosomes?,4,16,32,64,192,2,24,8,96,48,J,ori_mmlu-high_school_biology
Which of the following would most likely describe the fate of a vesicle formed as a result of phagocytosis?,The vesicle remains intact and floats freely in the cytoplasm.,The vesicle merges with a Golgi apparatus.,The vesicle merges with a mitochondrion.,The vesicle fuses with the cell membrane and its contents are expelled out of the cell.,The vesicle breaks down on its own without merging with any other organelle.,The vesicle merges with a lysosome.,The vesicle releases its contents to the cytoplasm to be digested.,The vesicle is absorbed by the endoplasmic reticulum.,"The vesicle is shuttled to the nucleus, and its contents become part of the nucleolus.",The vesicle merges with a peroxisome.,F,ori_mmlu-high_school_biology
"A population undergoes a shift in which those who are really tall and those who are really short decrease in relative frequency compared to those of medium size, due to a change in the availability of resources. This is an example of",convergent evolution.,stabilizing selection.,genetic drift.,disruptive selection.,directional selection.,sympatric speciation.,bottleneck effect.,adaptive radiation.,founder effect.,sexual selection.,B,ori_mmlu-high_school_biology
The nucleotide sequence of a DNA molecule is 5′-C-A-T-3′. A mRNA molecule with a complementary codon is transcribed from the DNA in the process of protein synthesis a tRNA pairs with a mRNA codon. What is the nucleotide sequence of the tRNA anticodon?,5-′U-A-C-3′,5′-U-G-C-3′,5′-U-C-G-3′,5′-G-T-A-3′,5′-G-U-A-3′,5′-C-A-U-3′,5′-T-A-G-3′,5′-A-U-G-3′,5′-C-G-U-3′,5′-A-T-G-3′,F,ori_mmlu-high_school_biology
"A biologist studied a population of squirrels for 15 years. During that time, the population was never fewer than 30 squirrels and never more than 45. Her data showed that over half of the squirrels born did not survive to reproduce, because of competition for food and predation. In a single generation, 90% of the squirrels that were born lived to reproduce, and the population increased to 80. Which inference(s) about this population might be true?",The squirrels may have started reproducing at a younger age.,The population of squirrels may have migrated to a different area with less competition.,"The squirrels of subsequent generations should show greater levels of genetic variation than previous generations, because squirrels that would not have survived in the past will now survive.",The population increase is a result of an influx of squirrels from a neighboring population.,The amount of available food may have increased.,The squirrels may have developed a genetic mutation that makes them resistant to predation.,The increase in population is due to a decrease in disease in the squirrel population.,"A, B, and C",The number of predators may have decreased.,The squirrels have adapted to require less food to survive.,H,ori_mmlu-high_school_biology
"Which group is composed entirely of individuals who maintained that species are fixed (i.e., unchanging)?","Aristotle, Darwin, and Lamarck","Aristotle, Lyell, and Darwin","Aristotle, Linnaeus, and Cuvier","Aristotle, Cuvier, and Lamarck","Linnaeus, Darwin, and Lamarck","Linnaeus, Cuvier, and Lamarck","Darwin, Cuvier, and Lamarck","Lyell, Cuvier, and Darwin","Lyell, Linnaeus, and Lamarck","Lyell, Lamarck, and Darwin",C,ori_mmlu-high_school_biology
"Except for identical twins, no two people are genetically identical. Which of the following statements most accurately describes the main source of variation in humans?",The main source of variation in humans is genetic engineering.,The main source of variation in humans is due to dietary factors.,Shuffling of alleles is responsible for the greatest variation in humans.,The main source of variation in humans is due to exposure to radiation.,The main source of variation in humans is genetic drift.,Genetic variation in humans is primarily caused by climate change.,The main source of variation in humans is due to different lifestyles.,Mutations are responsible for the greatest changes in different human populations.,Changes in the environment cause rapid changes in different human populations.,The main source of variation in humans is due to exposure to different diseases.,C,ori_mmlu-high_school_biology
"An eager AP Biology student interested in studying osmosis and the movement of water in solutions took a dialysis bag containing a 0.5 M solution and placed it into a beaker containing a 0.6 M solution. If this bag were instead placed into a beaker of distilled water, what would be the expected result?",The bag will expand and eventually burst due to the pressure of water flow.,The solute will flow into the dialysis bag from the beaker.,The bag will remain the exact same size because no water will move at all.,The bag will shrink in size and the beaker will overflow due to the movement of water.,The solute will flow out of the dialysis bag into the beaker.,"The water will evaporate from the bag, leaving only the solute.","There will be a net flow of water into the bag, causing it to swell in size.","There will be a net flow of water out of the beaker, causing it to decrease in size.",The water in the bag will freeze due to the change in environment.,"There will be a net flow of water out of the bag, causing it to decrease in size.",G,ori_mmlu-high_school_biology
Crossing-over during meiosis permits scientists to determine,the rate of mutations,the chance for variation in zygotes,the age of an organism,the potential for genetic disorders,the sequence of DNA bases,the rate of cell division,the number of chromosomes in a cell,which traits are dominant or recessive,the sex of an organism,the distance between genes on a chromosome,J,ori_mmlu-high_school_biology
"An organism exposed to wild temperature fluctuations shows very little, if any, change in its metabolic rate. This organism is most probably a",thermophyle.,poikilotherm.,ascospore.,endotherm.,stenotherm.,mesotherm.,ectotherm.,homeotherm.,eurytherm.,heterotherm.,D,ori_mmlu-high_school_biology
What was the prevailing notion prior to the time of Lyell and Darwin?,"Earth is millions of years old, and populations are unchanging.","Earth is millions of years old, and populations gradually change.","Earth is a few thousand years old, and populations rapidly change.","Earth is a few thousand years old, and populations are unchanging.","Earth is billions of years old, and populations gradually change.","Earth is a few hundred years old, and populations are unchanging.","Earth is billions of years old, and populations are unchanging.","Earth is a few thousand years old, and populations gradually change.","Earth is millions of years old, and populations rapidly change.","Earth is a few hundred years old, and populations gradually change.",D,ori_mmlu-high_school_biology
"On Andros Islands in the Bahamas, populations of mosquito fish, Gambusia hubbsi, colonized a series of ponds. These ponds are no longer connected. However, the environments are very similar except that some ponds contain predatory fish, while others do not. In high predation ponds, selection has favored the evolution of a body shape that enables rapid bursts of speed. In low predation ponds, another body type is favored—one that is well-suited to swim for long periods of time.",Reproductive isolation was a result of behavioral changes.,Geographic isolation resulted in sympatric speciation.,Allopatric isolation brought about reproductive isolation.,Allopatric isolation did not affect reproductive isolation.,Reproductive isolation caused geographic isolation.,Sympatric isolation resulted in geographic isolation.,The body shapes of the fish are the result of genetic drift.,Sympatric isolation brought about reproductive isolation.,Reproductive isolation was not complete.,The evolution of different body shapes is an example of coevolution.,C,ori_mmlu-high_school_biology
"A proficient engineer can easily design skeletal structures that are more functional than those currently found in the forelimbs of such diverse mammals as horses, whales, and bats. That the actual forelimbs of these mammals do not seem to be optimally arranged is because","the skeletal structures of these mammals are not designed for functionality, but for other purposes.",these mammals have not evolved to their full potential yet.,"natural selection has not had sufficient time to create the optimal design in each case, but will do so given enough time.",natural selection favors variety and diversity over optimal functionality.,the complexity of the skeletal system hinders the possibility of optimal arrangement.,natural selection is generally limited to modifying structures that were present in previous generations and in previous species.,"the skeletal structures are indeed optimally arranged, but our understanding of functionality is limited.",optimal design is a human concept that does not apply to natural selection.,"in many cases, phenotype is not merely determined by genotype, but by the environment as well.",natural selection operates in ways that are beyond the capability of the human mind to comprehend.,F,ori_mmlu-high_school_biology
Which of the following pieces of evidence most strongly supports the common origin of all life on Earth?,All organisms reproduce.,All organisms are capable of evolving.,All organisms require energy.,All organisms have DNA.,All organisms are composed of cells.,All organisms respire.,All organisms use essentially the same genetic code.,All organisms show heritable variation.,All organisms can move.,All organisms require water to survive.,G,ori_mmlu-high_school_biology
Organisms in which of the following phyla have a true coelom?,Arthropoda,Ctenophora,Platyhelminthes,Rotifera,Mollusca,Nematoda,Cnidaria,Annelida,Echinodermata,Porifera,J,ori_mmlu-high_school_biology
"A certain autosomal recessive trait is expressed in 1% of a population. Assuming that the population is in Hardy-Weinberg equilibrium, what percent of the population are carriers but do not express the trait?",27%,40%,10%,45%,60%,20%,30%,2%,50%,18%,J,ori_mmlu-high_school_biology
Which of the following statements is NOT correct about apoptosis?,Apoptosis is responsible for the formation of memory cells in the immune system.,Apoptosis is a form of cell death that results in inflammation and damage to the surrounding tissue.,"Apoptosis is a form of cell death that can be triggered by a variety of factors, including DNA damage.",Apoptosis plays a crucial role in the development of fingers in embryonic development.,Apoptosis prevents an aging and dying cell from damaging neighboring cells.,"Apoptosis, a special type of cell division, requires multiple cell signaling.",Apoptosis is the process of programmed cell death that occurs in multicellular organisms.,Apoptosis is a natural part of the life cycle of a cell and is not influenced by external factors.,Apoptosis is a process that only occurs in unhealthy or damaged cells.,The fact that apoptosis is widespread across several kingdoms is evidence that it evolved early in the evolution of eukaryotes.,F,ori_mmlu-high_school_biology
All of the following organs in the digestive system secrete digestive enzymes EXCEPT the,small intestine,gall bladder,esophagus,pancreas,liver,colon,mouth,rectum,stomach,appendix,B,ori_mmlu-high_school_biology
