What is the structure of the United Nations Security Council?,"5 permanent members without veto power, 10 rotating members with veto power","15 rotating members, none with veto power","10 permanent members with veto power, and 5 rotating members without veto power","15 members, all with veto power","20 members, 10 permanent with veto power, 10 rotating without veto power","10 permanent members without veto power, 5 rotating members with veto power","5 permanent members with veto power, 10 rotating members with no veto power",15 permanent members with veto power,"7 permanent members with veto power, 8 rotating members without veto power","5 permanent members and 10 rotating members, all with veto power",G,ori_mmlu-us_foreign_policy
The president's principal civilian adviser on the military is the,secretary of the treasury.,chief of staff.,secretary of defense.,secretary of state.,attorney general.,secretary of veterans affairs.,secretary of homeland security.,vice president.,national security adviser.,director of the CIA.,C,ori_mmlu-us_foreign_policy
How did the relationship between President and Congress develop under George H.W. Bush and Bill Clinton?,Congress asserted its primacy in foreign policy,Congress lost its influence in foreign policy,US foreign policy became substantially decentralized,Both the Presidency and Congress lost influence in foreign policy,Congress became the primary decision-maker in domestic policy,The Presidency welcomed the influence of Congress,The Presidency diminished the influence of Congress,The Presidency and Congress developed a collaborative foreign policy,None of the above,The Presidency asserted its primacy in foreign policy,I,ori_mmlu-us_foreign_policy
"Historically, what has been the general pattern of defense spending in the United States?",Defense spending is directly proportional to the country's GDP.,Steady increases over time.,"Increased spending during wars, with demobilization bringing spending down but not back to prewar levels","Decreased spending during wars, with increased spending during peacetime.","Massive increase in defense spending after World War II, with steady decreases since then.",Minimal spending on defense due to the country's neutral stance.,"Increased spending during wars, with further increases after the war to prepare for future engagements.",Steady decreases over time.,Unpredictable fluctuations.,"Increased spending during wars, with spending returning to prewar levels after demobilization.",C,ori_mmlu-us_foreign_policy
Which of the following is NOT a good predictor of which states will get nuclear weapons?,Number of major cities,Length of coastline,Geographic location,Age of the state,Regime type,Wealth/GDP,Receipt of sensitive nuclear assistance,Language spoken in the state,Rivalry with a nuclear state,Population size,E,ori_mmlu-us_foreign_policy
What was 'democratic enlargement'?,Both b and c,Both a and c,A proposal for the extension of democratic rule globally,A proposal for the extension of human rights globally,A proposal for the extension of free markets,A proposal for the expansion of NATO,A proposal for reform of the US system of government,A proposal for the enlargement of the European Union,A proposal for reform of the United Nations,A proposal for the expansion of communism,A,ori_mmlu-us_foreign_policy
Which common public relations tactic involves sending journalists on visits to appropriate locations?,Publicity stunt,Promotional days/weeks,Media release,Influencer engagement,Social media campaign,Media briefing,Press room,Press conference,Sponsorship,Media tour,J,ori_mmlu-public_relations
"You are the vice president of public relations for a corporation that produces a well-known brand of food products. In the Albany, New York, market, one of your products has recently been found to have some contamination. While apparently not fatal, it has given a large number of consumers severe stomach cramps and other intestinal problems. The cause has been traced back to your product, which is sold throughout the nation. Your CEO wants to know what you would advise to keep the situation from becoming a public relations disaster. What should you recommend?",Conduct an internal investigation but do not publicly acknowledge the issue.,"Issue a press release to the Albany, New York, market explaining how to treat the symptoms.",Stop all sales of the product throughout the nation and issue a recall for that product.,Quickly investigate to make certain your product is definitely the cause of the illness.,Only recall the product in stores where complaints have been received.,Continue sales but include warning labels on the product packaging.,Offer free product vouchers as compensation to affected consumers.,Deny any responsibility until more information is available.,"Stop sales of the product in the Albany, New York, market and issue a recall for that product.",Issue a press release downplaying the severity of the illness.,C,ori_mmlu-public_relations
"In public relations, ________ deals with an organization's ability to satisfy and create a positive experience for its consumers.",consumer relations,public issues,community relations,marketing communications,employee relations,reputation management,public affairs,crisis management,media relations,investor relations,A,ori_mmlu-public_relations
________ advertising campaigns are focused on gathering support for a particular message or cause.,Idea-oriented,Company-oriented,Message-oriented,Market-oriented,Service-oriented,Brand-oriented,Product-oriented,Person-oriented,Consumer-oriented,Profit-oriented,A,ori_mmlu-public_relations
Why should a successful public relations counselor continually review present and future realities for an organization?,to consider the role public relations might play,to interpret the organization's business plan,to interpret trends for management,to manage the organization's social media presence,to plan for potential crises,to organize company events,to create a new business strategy,to design the organization's website,to develop a vision statement,to train the management team in public speaking,C,ori_mmlu-public_relations
Which of these definitions best describes the 'spiral of silence'?,When people remain silent to avoid conflict or confrontation,When people hide their opinions if they do not agree with the majority,When people become silent due to a traumatic event,When people suppress their opinions due to fear of social isolation,When people consciously decide not to share their opinions on public platforms,When a quiet voice in a crowd goes unheard due to overpowering noise,When victims of abuse remain silent about the abuse,When a group of people conspire to keep a secret,When people hide their opinions if they are in disagreement with their close peers or family members,When public relations uses opinion poll results to generate support for a particular issue,G,ori_mmlu-public_relations
"What two elements do the planning models of Hendrix (2002), Kendall (1999), Merston (1963) and Parkinson and Ekachai (2006) have in common?",Evaluation and implementation,Research and strategy,Implementation and research,Research and evaluation,Strategy and evaluation,Objectives and implementation,Strategy and implementation,Strategy and objectives,Strategy and research,Evaluation and objectives,D,ori_mmlu-public_relations
Which of the following is NOT one of the four categories of persuasive crisis communication strategies identified by W. Timothy Coombs?,denial,downplaying,distancing,diversion,nonexistence,minimization,justification,intensification,ingratiation,victimization,B,ori_mmlu-public_relations
Which statement is NOT true of both issues management and crisis management?,They both are reactive approaches to handle issues.,Both have the potential to damage an organisation's reputation.,They both deal with acute risks.,New organizational practices are developed as a result of each.,Both require a swift response time.,Both can lead to improvement in organizational practices.,They both require research monitoring.,Both are planned in advance and implemented when needed.,Both require a change in organizational structure.,They both are proactive approaches to manage risks.,C,ori_mmlu-public_relations
"According to Esman (1972), which publics are related to the organisation through shared industrial interests?",General,Enabling,Normative,Collaborative,Competitive,Regulatory,Functional,Market-oriented,Diffused,Strategic,C,ori_mmlu-public_relations
Which of the following entities cannot sue for libel?,A public figure,An individual citizen,A house of worship,A politician,A private educational institution,A government institution,A private corporation,A publicly-traded company,A celebrity,A non-profit organization,F,ori_mmlu-public_relations
Which author emphasised strategy as achieving competitive advantage for an organization?,Gregory (2006),Henry (2006),Drucker (1993),Porter (1985),Steyn (2003),Thompson (2004),Mintzberg (1994),Jenkins (2008),Cutlip et al (2006),Kaplan (2005),B,ori_mmlu-public_relations
Which statement is true about focus group research?,The participants should be selected at random.,The information can be generalized to describe a larger population.,The findings generate qualitative data that can be used to develop surveys.,It is an example of a formal research tool for practitioners.,The information collected cannot be used in decision making.,It is exclusively used for market research.,All participants in the focus group should have similar backgrounds and experiences.,It is the most efficient way to gather quantitative data.,"The facilitator's role is to observe, not guide the discussion.",The group must consist of at least 20 participants for valid results.,C,ori_mmlu-public_relations
"As the single-person public relations staff of a public transit agency, you are tasked with increasing the number of people who ride your buses each month. Your target audiences are lower-income individuals, college students, people with basic educations and people for whom English is a Second Language. When preparing to craft a primary message, what should you do first?",Consider which mediums would most effectively reach all of the target audiences.,Consider how riding the bus could similarly affect all of the target audiences.,Consider the fare price for each target audience.,Consider the number of buses available for each route.,Consider the age groups of all the target audiences.,Consider the existing transportation alternatives for each target audience.,Consider the geographic locations where all of the target audiences live and work.,Consider the comprehension level of all of the target audiences.,Consider the cultural backgrounds of all the target audiences.,Consider the public perception of bus transportation among the target audiences.,B,ori_mmlu-public_relations
Newsletters generally fall in to which writing category?,Creative writing,Academic writing,Legal writing,Media writing,Scientific writing,Journalistic writing,Technical writing,Personal writing,Business writing,Promotional writing,J,ori_mmlu-public_relations
Which of the following Internet-related challenges is most significant in the public relations field?,Overcoming language barriers in global communications,Staying abreast of changing technology,Ensuring security of online client information,Adapting to the rapid advancement of digital marketing tools,"Finding stable, cost-effective Internet providers",Representing clients using new social media environments,Training staff to use social media,Maintaining ethical standards in online communications,Managing online reputation and crisis,Dealing with fake news and misinformation online,B,ori_mmlu-public_relations
"In the Westley and MacLean model of communication, which role describes the way in which the public obtain or receive the message?",The sender's role,The noise role,The channel's role,The mediator's role,The advocacy role,The feedback role,The receiver's role,The gatekeeper role,The interpreter's role,The behavioural role,C,ori_mmlu-public_relations
Which guerrilla marketing technique involves the spreading of a message about a product issue or service through online peer-to peer communication?,Ambient marketing,Fan pages,Flash mobs,Stealth marketing,Grassroots marketing,Buzz marketing,Experiential marketing,Street activities,Undercover marketing,Viral campaigns,J,ori_mmlu-public_relations
Internet traffic is expected to grow by 400% in the next few years. What is predicted to be the main driver of this?,Video,Gaming,Email communication,Virtual Reality applications,Online auctions,Social media usage,Online consumer goods purchases,E-book downloads,Online education platforms,Music,A,ori_mmlu-public_relations
"You seek the counsel of one of your peers who designed and implemented a communication program that resulted in the successful permitting of an automotive recycling center, despite strong opposition from community organizations. You have to design a program to win approval for a similar project proposed by your company. Your peer gives you a brief piece of advice that succinctly describes the foundation of his successful program. What is most likely your peer's advice for a successful communication program?",Kill them with kindness,Ignore their concerns,Expose them to ridicule,Bribe them into agreement,Use aggressive tactics,Solve their problems,Manipulate their emotions,Overwhelm them with facts,Overpower them with authority,Intimidate them with legal jargon,F,ori_mmlu-public_relations
Which of these publics does NOT feature in Grunig and Hunt's (1984) situational theory of publics?,Aware,Passive,Observant,Reactive,Nonresponsive,Inactive,Latent,Active,Dormant,Conscious,I,ori_mmlu-public_relations
Which of these qualities is NOT listed as something to consider when choosing an opinion leader for a public relations campaigns?,Ability to reach people,Familiarity with subject or issue,Reputation,Number of social media followers,Personal relationship with the organization,Political affiliation,Educational background,Financial status,Age,Impact,B,ori_mmlu-public_relations
"According to Macnamara's (2005) pyramid of evaluation, at which stage is the situation analysis done and used to form objectives and implementation plans?",Reach,Planning,Evaluation,Outputs,Outcomes,Inputs,Feedback,Impact,Process,Outtakes,F,ori_mmlu-public_relations
Which factors are mentioned that influence media coverage of a story?,"Relevance, content, political slant","Quality of source, political slant, media liaison","Content, quality of source, relevance","Quality of source, timing, political slant","Human interest angle, relevance, content","Content, quality of source, human interest angle","Media liaison, human interest angle, political slant","Timing, relevance, political slant","Timing, content, media liaison","Media liaison, timing, human interest angle",I,ori_mmlu-public_relations
"According to Macnamara's (2005) pyramid of evaluation, at which stage are opinion polls most useful?",Inputs,Pre-evaluation,Impact,Outtakes,Outputs,Outcomes,Input-Output,Evaluation planning,Process,Feedback,D,ori_mmlu-public_relations
"No-Wait Weight Loss, a diet pill brand, promises its potential consumers that if they take one pill once a day they will lose weight without having to change their diet or start exercising. However, many people who have used the product have complained that they haven't lost weight, and some have even gained weight. No-Wait Weight Loss has been unsuccessful in the ________ stage of the advertising campaign.",feedback,penetration,evaluation,planning,persuasion,execution,distribution,promotion,participation,identification,G,ori_mmlu-public_relations
"When an attitude is communicated, what does it become?",A behaviour,A stereotype,A point of view,An opinion,A principle,A value,A belief,A theory,A fact,A perception,D,ori_mmlu-public_relations
Which communication model describes the encoding and decoding of messages?,Uses and Gratifications model,Westley and MacLean model,Two-step flow model,Osgood and Schramm model,Gatekeeping model,Cultivation Theory model,Lasswell model,Shannon and Weaver model,Maletzke model,Hypodermic Needle model,D,ori_mmlu-public_relations
Where was the first British newspaper printed?,Bristol,Oxford,Birmingham,Edinburgh,Cambridge,York,Liverpool,London,Leeds,Manchester,B,ori_mmlu-public_relations
Which of the following information about publications does the Audit Bureau of Circulation NOT provide?,Traffic,Circulation,Advertising revenue,Subscription rates,Printing costs,Readership,Content analysis,Print quality,Editorial board information,Distribution,F,ori_mmlu-public_relations
The ________ phase of the PR process consists of making decisions about which strategies and tactics will be used to respond to the goals of the organization and executing those strategies and tactics.,completion,implementation,initiation,strategizing,planning,execution,development,monitoring,evaluation,tactical,B,ori_mmlu-public_relations
In recent years social media has had a major impact on the practice of public relations. In which of the following areas has the impact been greatest and experienced most immediately?,Retail business,Healthcare,Nonprofits,Politics,Education,Financial services,Real estate,Sports marketing,Tourism and hospitality,Automotive sales,D,ori_mmlu-public_relations
Which traditional news criterion would you expect to be most important in public relations messages distributed through the mass media?,Sensationalism,Uniqueness,Humor,Relevance,Impact,Timeliness,Prominence,Controversy,Proximity,Predictability,E,ori_mmlu-public_relations
What is the main purpose of licensing public relations practitioners?,To achieve better wages for licensed practitioners,To create an elite of public relations practitioners,To regulate access to posts in the field,To mandate continued professional education for practitioners,To increase government control over public relations,To provide a revenue stream for professional organizations,To preserve the well-being of society,To ensure a minimum level of education for practitioners,To inflate the cost of public relations services,To limit competition in the field,G,ori_mmlu-public_relations
In which era did muckraking journalism led to the widespread introduction of public relations in business?,"The Cold War Era, 1947 - 1991","Postwar Era, 1945 - 1965","The New Deal Era, 1933 - 1939","The Great Depression Era, 1929 - 1939","Seedbed Era, 1900 ' 1917","Roosevelt Era, 1930 - 1945","Industrial Revolution Era, 1760 - 1840","Booming Twenties Era, 1919 - 1929","The Gilded Age, 1870 - 1900","The Progressive Era, 1890 - 1920",E,ori_mmlu-public_relations
"In the public relations field, what is the most common threat to a client-firm relationship?",Resistance to outside advice,Disagreements over the firm's strategic direction,Personality conflicts,The firm's inability to meet the client's expectations,Lack of transparency from the firm,Clients' questions about costs,The client's dissatisfaction with the firm's performance,Superficial grasp of the client's unique problems,Inconsistent communication between the client and the firm,The client's lack of trust in the firm's expertise,F,ori_mmlu-public_relations
A 2008 survey showed that what percentage of the world's largest companies are reporting their corporate responsibility?,40%,90%,50%,100%,80%,70%,60%,20%,30%,10%,E,ori_mmlu-public_relations
"In recent research, the 14,000 stories that could be accessed on Google News' front page in a day pertained to how many actual news events?","9,574",326,"5,000","10,000",24,500,100,50,"1,000",18,E,ori_mmlu-public_relations
Approximately what proportion of nonprofit sector practitioners conduct audience research?,One-half,Less than 10%,Nearly all,Almost all,More than 80%,Approximately 90%,Three quarters,One-quarter,One third,Two thirds,J,ori_mmlu-public_relations
Which statement is true about an open systems model of public relations in an organization?,It discourages feedback from its publics.,It aims at maintaining a static organizational environment.,It supports non-transparency and secrecy for organizational success.,It communicates with its publics frequently to effect change outside the organization.,It emphasizes on controlling the public perception rather than adapting to it.,It adapts to changing organizational environments.,It promotes a one-way communication from the organization to its publics.,It encourages the organization to work in isolation.,It adopts the policy of transparency to build public trust.,It focuses on removing communication barriers between its business divisions.,F,ori_mmlu-public_relations
Watson and Noble (2005) lay out a five-step model for circular evaluation. At which step should pre-testing of strategy and tactics be carried out?,After the third step,2,At the last step,The pre-testing step is not included in the model,1,4,6,3,At the beginning of the process,5,H,ori_mmlu-public_relations
"Louis owns a chemical company that has been irresponsibly disposing of chemical waste and contaminating the community's water supply. Although he knew the company was cutting costs in its waste disposal, he publicly claims to have had no knowledge of the irresponsible practices, blames it on the company's general manager and fires him. What image restoration strategy is Louis using?",mortification,minimization,reducing the offensiveness,good intentions,attacking the accuser,corrective action,compensation,bolstering,denial,evasion of responsibility,I,ori_mmlu-public_relations
"The second stage of the advertising campaign is to establish ________, or to become known as trustworthy and believable.",identity,credibility,authenticity,influence,legitimacy,reliability,agency,resonance,visibility,recognition,E,ori_mmlu-public_relations
Which type of writing employs the pyramid structure?,Business writing,Academic writing,Personal writing,Scientific writing,Media writing,Reflective writing,Legal writing,Promotional writing,Technical writing,Creative writing,E,ori_mmlu-public_relations
Which of these should an objective NOT be?,Achievable,Open-ended,Specific,Broad,Measurable,Relevant,Realistic,Detailed,Time-bound,Ambiguous,D,ori_mmlu-public_relations
"Segmentation of the population into psychographics, demographics and geodemographics is especially important in which public relations specialisation?",Employee relations,Public affairs,Crisis management,Government relations,Media relations,Issues management,Investor relations,Community relations,Corporate communications,Marketing communications,J,ori_mmlu-public_relations
Which fashion house sued for damages to its reputation after being accused of stealing a design?,Gucci,Chanel,Versace,Prada,Dior,Givenchy,Louis Vuitton,Lacroix,Yves Saint Laurent,Dolce & Gabbana,B,ori_mmlu-public_relations
"What public relations pioneer is credited with being the first practitioner to insist on ""a place at the management table""?",Arthur Page,Doris Fleischman,Harold Burson,Betsy Plank,John W. Hill,Sam Black,Daniel Edelman,Ivy Lee,Carl Byoir,Edward Bernays,A,ori_mmlu-public_relations
Which of these activities might secondary research involve?,Examining public records,Observing people,Writing a novel,Conducting a scientific experiment,Conducting a survey,Conducting a content analysis,Interviewing people,Collecting soil samples,Coding a computer program,Designing a building,A,ori_mmlu-public_relations
Early email was developed in which decade?,1900s,1920s,2000s,1990s,1960s,1930s,1970s,1950s,1980s,1940s,G,ori_mmlu-public_relations
"According to Esman (1972), which publics help an organization to exist by lending authority or assistance?",Collaborative,Enabling,Strategic,Operational,Normative,Regulatory,Diffused,Functional,Financial,Administrative,B,ori_mmlu-public_relations
Which common public relations tactic can provide a 'halo effect'?,Placement on TV or radio,Sponsorship,Social Media Advertising,Billboards and Posters,Stunts,Direct Mail,Email Marketing,Third parties,Product Placement in Movies or TV Shows,Celebrity Endorsements,B,ori_mmlu-public_relations
Which of the following best describes the balance the Supreme Court has struck between the establishment clause and the free-exercise clause?,The government can restrict the free exercise of religion in the interest of national security.,"Freedom of speech is protected except in certain situations, such as yelling ""fire"" in a crowded theater.",All religious practices are prohibited in public schools.,The government can endorse a specific religion as long as it does not compel people to practice that religion.,"Once a church has been recognized by the federal government, its tax-exempt status can never be revoked.",The government can fund religious activities as long as all religions are given equal opportunities.,The government is allowed to promote a specific religion as long as it does not interfere with the free exercise of other religions.,"Once Congress has created an administrative agency, that agency can be dissolved only by a constitutional amendment.","State-sponsored prayer during school hours is prohibited, but voluntary prayer by student groups before school is allowed.",The government can neither endorse nor restrict any religious activities.,I,ori_mmlu-high_school_government_and_politics
Which of the following statements does NOT accurately describe voting behavior in the United States?,Registered voters between the ages of 35 and 45 are more likely to vote than are those under the age of 21.,Registered voters are more likely to vote in general elections than they are in primary elections.,The proportion of the population that votes decreases during economic recessions.,More women than men have voted in every presidential election since 1980.,Registered voters are less likely to vote in presidential elections than in local elections.,A registered voter who has attained his or her General Educational Development (GED) is less likely to vote than a high school dropout.,College graduates are less likely to vote than those with only a high school education.,More men than women have voted in every congressional election since 1980.,More African Americans than Caucasians have voted in every presidential election since 1980.,Individuals over the age of 65 are the least likely age group to vote.,F,ori_mmlu-high_school_government_and_politics
Which of the following plays the most significant role in forming a child's political views?,The child's religion,The child's educational institution,The political events occurring during the child's formative years,The geographical area in which the child grows up,The child's cultural background,The child's personal experiences,The media to which the child is exposed,The child's peer group,The socioeconomic status of the child's family,The child's family,J,ori_mmlu-high_school_government_and_politics
What power was granted to the states by the Articles of Confederation but not by the Constitution?,Enforcing national laws,Making treaties with other countries,Authorizing constitutional amendments,Establishing foreign diplomatic relations,Coining money,Having power to declare war,Appealing to the president to adjudicate disputes,Regulating interstate commerce,The power to tax citizens directly,Having representation in Congress,E,ori_mmlu-high_school_government_and_politics
The primary function of political action committees (PACs) is to,determine the platforms of political parties,conduct independent investigations into political corruption,provide legal advice to candidates for election,promote the defeat of incumbents in the federal and state legislatures,provide candidates with campaign staff and resources,organize protest demonstrations and other acts of civil disobedience,coordinate local get-out-the-vote campaigns,directly campaign for specific candidates,lobby for legislation in Congress,contribute money to candidates for election,J,ori_mmlu-high_school_government_and_politics
Which of the following defines the salience of a political issue?,The amount of coverage the issue receives in the major news media,The number of social media posts about the issue,The geographical area impacted by the issue,The length of time the issue has been present,The number of politicians who have publicly spoken about the issue,The number of protests organized around the issue,The amount of funding allocated to the issue by the government,The degree to which public opinion on the issue is likely to shift quickly,The importance of the issue to a particular individual or group,The number of people affected by the issue,I,ori_mmlu-high_school_government_and_politics
Which of the following does the Supreme Court NOT have the power to override?,State constitutions,Federal regulations,International laws,Decisions of lower federal courts,Laws passed by state legislatures,Federal budget allocations,Treaties ratified by the Senate,Laws passed by Congress,Presidential executive orders,Constitutional amendments,J,ori_mmlu-high_school_government_and_politics
