question_id,question,existing options,answer,augmented options,image path (if need),"review result (If there is no issue, write ""1""; if there is an issue, state the reason directly.)",
validation_Psychology_14,"The interference resulting from the performance of two simultaneous cognitive tasks can be categorized as either domain-general or domain-specific. Domain-general interference results from a lack of overall cognitive resources to attend to both tasks. A domain-specific interference is related to a lack of resources in a specific system, such as the visual or motor system. Recent research has suggested that language regarding visual and motoric content may engage some of the same systems through mental simulation, rather than engaging separate systems for language and perceptual systems. Studies have shown following distance increases with increased distraction or weather related stress. Other researchers wanted to understand the implications of this research on driving ability. They set up an experiment to test the effects of content specific language involving visual, motor, or abstract content on reaction times and following distance. All participants spoke English fluently and underwent training to ensure competence in the driving simulator did not affect their performance of the task. Participants were required to keep both hands on the wheel during the experiment. After the driving simulation began, the participants had to respond to a battery of true and false questions in each language condition. A possible visual language condition sentence is 'A stop sign is green'; a correct response is speaking the word 'false'. Sentences in the motor condition included fine motor details and differed from required movements for driving (e.g. 'It is possible to crush a remote between the thumb and first finger'; similarly, this would require speaking 'false'). Abstract sentences were taken from the U.S. citizenship exam (e.g. 'The American Civil War took place before WWII'; 'true'). The mean following distance from the pace car for each of the three language conditions and a control group (asked to repeat the word 'true' or 'false') is shown in Figure 1. Figure 1: The mean following distance between the participant's vehicle and the vehicle in front of the participant in the simulation. There were significant differences between pairwise comparisons in all conditions. <image 1> The term 'LBFS (Look But Failed to See) accident' has crept into the nomenclature to describe an accident where the driver looked in a direction, only to be hit by an oncoming vehicle that should have been highly visible from that same direction. Which of these would NOT account for this problem?","A. Saccadic masking occurrence, in which moving eyes are rendered temporarily blind
B. Driving on an unfamiliar road
C. Domain-general and domain-specific interference
D. An experienced driver's existing schema does not match an oncoming car",B. Driving on an unfamiliar road,"E. Overconfidence in driving skills
F. Poor weather conditions
G. Listening to music while driving
H. Misjudgment of the oncoming car's speed
I. Fatigue or drowsiness
J. Wearing tinted glasses while driving",images/validation_Psychology_14_1.png,wrong,
validation_Art_21,This depiction of <image 1> was a popular subject matter painted by several artists in the 16th and 17th centuries...  who painted this one?,"A. Peter Paul Rubens 1675
B. Caravaggio 1635
C. Artemisia Gentileschi 1612-13
D. Francisco de Zurbarán 1614",C. Artemisia Gentileschi 1612-13,"E. Diego Velázquez 1623
F. Rembrandt van Rijn 1654
G. Jan Vermeer 1665
H. El Greco 1600
I. Titian 1550
J. Hans Holbein the Younger 1533",images/validation_Art_21_1.png,1,
validation_Math_23,A rocket is shot from the top of a tower at an angle of 45° above the horizontal (Fig. 19-1). It hits the ground in 5 seconds at a horizontal distance from the foot of the tower equal to three times the height of the tower. Find the height of the tower.<image 1>,"A. h = 100 ft
B. h = 80 ft
C. h = 110 ft
D. h = 85 ft",A. h = 100 ft,"E. h = 90 ft
F. h = 120 ft
G. h = 70 ft
H. h = 95 ft
I. h = 105 ft
J. h = 75 ft",images/validation_Math_23_1.png,1,
validation_Manage_13,"Tango Company produces joint products M, N, and T from a joint process. This information concerns a batch produced in April at a joint cost of $120,000: <image 1> How much of the joint cost should be allocated to each joint product using the net realizable value method?","A. M: $57,000; N: $47,000; T: $16,000;
B. M: $57,000; N: $47,000; T: $20,000;
C. M: $60,000: N: $51,996; T: $8,004;
D. M: $60,000: N: $51,996; T: $12,000;","C. M: $60,000: N: $51,996; T: $8,004;","E. M: $58,000; N: $46,000; T: $16,000;
F. M: $55,000; N: $50,000; T: $15,000;
G. M: $59,000; N: $48,000; T: $13,000;
H. M: $62,000; N: $50,000; T: $8,000;
I. M: $56,000; N: $49,000; T: $15,000;
J. M: $57,000; N: $52,000; T: $11,000;",images/validation_Manage_13_1.png,1,
validation_Electronics_23,Consider the capacitor shown in  <image 1>. The capacitance C(t) is given by $C(t) = C_0 (1 + 0.5 sin t)$. The voltage across this capacitor is given by $v(t) = 2 sin wt$ Find the current through the capacitor.,"A. $C_0 sin wt cos t + 2w C_0 cos wt (1 + 0.5 sin t)$
B. $C_0 cos wt cos t + 2w C_0 sin wt (1 + 0.5 sin t)$
C. $C_0 sin wt cos t + 4w C_0 cos wt (1 + sin t)$
D. $C_0 sin wt cos t + 2w C_0 cos wt (1 - sin t)$",A. $C_0 sin wt cos t + 2w C_0 cos wt (1 + 0.5 sin t)$,"E. $C_0 cos wt sin t + 3w C_0 sin wt (1 + 0.5 sin t)$
F. $C_0 sin wt cos t - 2w C_0 cos wt (1 + 0.5 sin t)$
G. $2w C_0 cos wt (1 + 0.5 sin t) - C_0 sin wt cos t$
H. $C_0 cos wt sin t + 2w C_0 sin wt (1 + 0.5 cos t)$
I. $C_0 sin wt cos t + 2w C_0 cos wt (1 + 0.5 cos t)$
J. $C_0 cos wt cos t + 2w C_0 sin wt (1 - 0.5 sin t)$",images/validation_Electronics_23_1.png,1,
validation_Music_6,<image 1> The second measure of the above example uses which rhythmic device?,"A. Anacrusis
B. Hemiola
C. Suspension
D. Augmentation",B. Hemiola,"E. Syncopation
F. Diminution
G. Sforzando
H. Ritardando
I. Fermata
J. Accelerando",images/validation_Music_6_1.png,1,
validation_History_29,<image 1> British economic interactions with India during the time span covered in the chart above would have been chiefly concerned with which of the following commodities?,"A. Cotton
B. Spices
C. Ivory
D. Opium",A. Cotton,"E. Tea
F. Silk
G. Indigo
H. Coffee
I. Sugar
J. Rice",images/validation_History_29_1.png,1,
validation_Psychology_11,"Epidemiologically speaking, it is crucial to understand the contact structure through which disease travels. In studies of sexually transmitted diseases (STDs) in particular, the structure of sexual networks is critical for understanding STD diffusion. Generally, the network structures of disease diffusion and infection can be categorized into four types: the core infection model, the inverse core infection model, the bridging model, and the spanning tree model (see below). Figure 1. The network structure of four models of infection. For Panels A, B, and C, black circles denote actors that are high-activity or high-risk, and white circles indicate low-activity or low-risk actors. Panel D circles represent randomly selected individuals. Lines represent the relationship between two actors. The dotted lines in Panel A and B delineate the ""core"". <image 1> Disease diffusion is widespread among adolescent populations. A study mapped the romantic and sexual relationships of an entire high school population of over 800 adolescents in a midsized town in the Midwestern US for a period of 18 months. Students were asked to identify their sexual (not dating) and romantic partners (dating) in the past 18 months from a roster of other students attending their school. The study found that adolescent sexual networks are structured very differently from adult ones. In an adult sexual network, there is normally a core group of very sexually active people that links out to others. This can be envisioned as a transportation hub system where many points are connected to a small number of hubs. At the high school, on the contrary, there was no core group. Instead, the romantic and sexual network at the school created long chains of connections that spread out through the community, with few places where students directly shared the same partners with each other. This can be comparable to rural phone lines that run from a long main line to individual houses. One single component of the network was found to have 288 linked students, in one long chain. This chain featured 52% (288) of the romantically involved students at the high school, but most students had only one partner and they had little idea of their connections to the long network chain. Which of the following statements best explains Panel C?","A. One individual's past partner is tied through multiple chains to his or her current or future partner.
B. It is a structure with few cycles, low redundancy, and sparse density.
C. One actor shows the ability to stop the transmission of STDs between two networks.
D. Two populations of persons engaged in different behaviors are linked by one actor.",D. Two populations of persons engaged in different behaviors are linked by one actor.,"E. It is a structure with high redundancy and dense density.
F. The individual's past, current and future partners are all connected to each other.
G. Two actors show the ability to prevent the spread of STDs in the network.
H. The structure involves multiple actors who connect different networks.
I. One actor links two populations engaged in the same behavior.
J. The structure is a closed loop, with no new actors entering or leaving.",images/validation_Psychology_11_1.png,1,
validation_History_12,"<image 1> Study this flowchart of the English, Spanish, and Scottish royal families to identify which two monarchs were related by both blood and marriage.","A. Phillip II and Mary I
B. Francis II and Mary Queen of Scots
C. Elizabeth I and Edward VI
D. Catherine of Aragon and Henry II",A. Phillip II and Mary I,"E. Henry VII and Elizabeth of York
F. James VI and Anne of Denmark
G. Charles I and Henrietta Maria
H. Mary Queen of Scots and Lord Darnley
I. Henry VIII and Anne Boleyn
J. James I and Anne of Denmark",images/validation_History_12_1.png,部分名字未在图出现,
validation_Geography_26,"The following rock mass structure types () do not belong to the ""Code for Geological Investigation of Water Resources and Hydropower Engineering"" (GB Classification of Rock Mass Structure for 50287-99)<image 1>","A. Overall, block, and sub block structures
B. Giant thick layered, thick layered, medium thick layered, interbedded, and thin layered structures
C. Weathering unloading structure and weathering fragment structure
D. Inlaid fragmented structure and fragmented structure",C. Weathering unloading structure and weathering fragment structure,"E. Layered and jointed structures
F. Faulted and folded structures
G. Intrusive and extrusive structures
H. Sedimentary and metamorphic structures
I. Strata and bedding structures
J. Fractured and veined structures",images/validation_Geography_26_1.png,图文不符,
validation_Geography_19,Which of the following options is not included in the hazard assessment of geological hazards?<image 1>,"A. Land subsidence
B. Ground collapse
C.  Ground fissures
D. Earthquake",D. Earthquake,"E. Soil erosion
F. Volcanic eruption
G. Tsunami
H. Landslide
I. Flash flood
J. Avalanche",images/validation_Geography_19_1.png,图文不符,
validation_Art_Theory_1,<img='./images/q_152_1.png'> <image 2> Ndop sculptures represent a tradition that,"A. disappeared with the British occupation
B. is still active today
C. is performed, but has lost its original meaning
D. is celebrated throughout Africa, and wherever Africans have traveled",B. is still active today,"E. has completely transformed over time
F. has been replaced by modern art forms
G. is only known and appreciated by a few tribes
H. has been entirely forgotten and is not practiced at all
I. is only performed during specific ceremonies
J. is only known and kept alive by elders in the community",images/validation_Art_Theory_1_1.png,1,
validation_Design_22,Radial balance involves a central piece from which all other elements seem to radiate to arrange themselves in circular symmetry.<image 1>,"A. Symmetrical
B. Asymmetrical
C. Radical
D. Bilateral",A. Symmetrical,"E. Concentric
F. Tangential
G. Centripetal
H. Rotational
I. Equidistant
J. Circular",images/validation_Design_22_1.png,1,
validation_Math_12,"Maximize 3∑_{i=1} r_i
 Subject to: S_{i-1} = 3S_i - d_1 i = 1, 2, 3,
 S_i ≧ d_i ≧ 0 
where r_1 = 3d_1 
r_2 = 3d_2 
r_3 = 3d_3^2
<image 1>","A. d1* = S1 and d2* = 0 and d3* = S3
B. d1* = 0 and d2* = S2 and d3* = 0
C. d1* = S1 and d2* = S2 and d3* = 0
D. d1* = 0 and d2* = 0 and d3* = S3",A. d1* = S1 and d2* = 0 and d3* = S3,"E. d1* = S1 and d2* = S2 and d3* = S3
F. d1* = S2 and d2* = 0 and d3* = S3
G. d1* = 0 and d2* = S1 and d3* = 0
H. d1* = S3 and d2* = 0 and d3* = S1
I. d1* = 0 and d2* = S3 and d3* = S2
J. d1* = S2 and d2* = S3 and d3* = 0",images/validation_Math_12_1.png,1,
validation_Diagnostics_and_Laboratory_Medicine_15,Most important predisposing factor for the pictured condition is: <image 1>,"A. 2nd trimester hypoxic/ischemic event
B. Nuchal cord
C. Premature birth
D. Sepsis",C. Premature birth,"E. Maternal diabetes
F. Genetic disorders
G. Maternal smoking during pregnancy
H. Drug or alcohol use during pregnancy
I. Meconium aspiration
J. Birth trauma",images/validation_Diagnostics_and_Laboratory_Medicine_15_1.png,需要专业人士,
validation_Math_13,"<image 1>A regular hexagon of side length 4 is embedded in a regular octagon of side length 4, as shown. What is the area of quadrilateral $A B C D$ ?","A. $16 \sqrt{2}$
B. $16 \sqrt{3}$
C. $16+16 \sqrt{2}-16 \sqrt{3}$
D. $16+16 \sqrt{3}-16 \sqrt{2}$",C. $16+16 \sqrt{2}-16 \sqrt{3}$,"E. $16+16 \sqrt{3}+16 \sqrt{2}$
F. $16-16 \sqrt{2}+16 \sqrt{3}$
G. $16-16 \sqrt{3}+16 \sqrt{2}$
H. $16+16 \sqrt{2}+16 \sqrt{3}$
I. $16-16 \sqrt{2}-16 \sqrt{3}$
J. $16-16 \sqrt{3}-16 \sqrt{2}$",images/validation_Math_13_1.png,1,
validation_Sociology_3,Sociology studies <image 1> and governmental relationships as _________.,"A. The exercise of power by the state
B. The strategies some use to direct the behaviour and actions of others
C. The institutionalization of legislative, executive, and judicial branches of the state
D. The means by which permanent hierarchies are established and enforced",B. The strategies some use to direct the behaviour and actions of others,"E. The ways in which individuals and groups interact within a society
F. The development of social norms and values
G. The impact of social change on individual behavior
H. The influence of social class on access to resources
I. The role of culture in shaping societal structures
J. The analysis of social inequality and discrimination",images/validation_Sociology_3_1.png,1,
validation_Computer_Science_21,What kind of matrix traversal is <image 1>?,"A. Normal traversal of the matrix.
B. Row-wise traversal of the matrix.
C. Column-wise traversal of the matrix.
D. spiral traversal of the matrix.",D. spiral traversal of the matrix.,"E. Diagonal traversal of the matrix.
F. Zigzag traversal of the matrix.
G. Reverse traversal of the matrix.
H. Boundary traversal of the matrix.
I. Depth-first traversal of the matrix.
J. Breadth-first traversal of the matrix.",images/validation_Computer_Science_21_1.png,1,
validation_Accounting_12,"<image 1> Hicks Products produces and sells patio furniture through a national dealership network. They purchase raw materials from a variety of suppliers and all manufacturing, and assembly work is performed at their plant outside of Cleveland, Ohio. They recorded these costs for the year ending December 31, 2017. What is total revenue?","A. $3,100,000
B. $2,616,000
C. $2,474,000
D. $484,000","A. $3,100,000","E. $2,900,000
F. $3,200,000
G. $2,800,000
H. $3,300,000
I. $2,700,000
J. $3,000,000",images/validation_Accounting_12_1.png,1,
validation_Art_23,Margaret Gere's <image 1> was made in which medium?,"A. Egg tempera
B. Watercolour
C. Ink
D. Oil paint",A. Egg tempera,"E. Acrylic paint
F. Charcoal
G. Pastels
H. Graphite pencil
I. Gouache
J. Digital art",images/validation_Art_23_1.png,1,
validation_Architecture_and_Engineering_2,Compare the scales of photography for the area recorded and the strip widths given by cameras A and B at the same flying heights.<image 1>How many photographs would be taken by the camera A in covering a strip 16 km long at a flying height of 1350 m? The longitudinal overlap is 60%.,"A. 35.567 $\approx$ 36
B. 36.567 $\approx$ 37
C. 34.567 $\approx$ 35
D. 37.567 $\approx$ 38",A. 35.567 $\approx$ 36,"E. 33.567 $\approx$ 34
F. 32.567 $\approx$ 33
G. 38.567 $\approx$ 39
H. 39.567 $\approx$ 40
I. 31.567 $\approx$ 32
J. 30.567 $\approx$ 31",images/validation_Architecture_and_Engineering_2_1.png,1,
validation_Sociology_14,Which of the following is a criticism of <image 1>?,"A. It is too broad and accounts for too many aspects of family.
B. It is too narrowly focused on a sequence of stages.
C. It does not serve a practical purpose for studying family behaviour.
D. It is not based on comprehensive research.",B. It is too narrowly focused on a sequence of stages.,"E. It does not consider cultural differences in family structures.
F. It fails to take into account the impact of socioeconomic factors.
G. It overemphasizes the role of individual family members.
H. It lacks a clear theoretical framework.
I. It does not consider the impact of external factors on family dynamics.
J. It does not address the role of gender within the family.",images/validation_Sociology_14_1.png,1,
validation_Sociology_18,What is the W.E.B Dubois <image 1>?,"A. Says the organization of society (stratiLcations based on class, ethnicity, gender, age, etc.) and the changes in society can be explained by the conSicts inherent to social relations.
B. Is the economic system that is directed at earning a proLt for a few, selling the proLts to many people, and keeping workers wages low in order to increase proLts
C. Is a theory that focuses on the social structures that shape society as a whole. It sees society as a complex system whose parts work together to maintain stability and to promote solidarity.
D. Refers to the particular experience of African Americans where in which they are forced to see themselves their status as citizens who are never able to escape identiLcation based on the color of their skin",D. Refers to the particular experience of African Americans where in which they are forced to see themselves their status as citizens who are never able to escape identiLcation based on the color of their skin,"E. Is a theory that argues for the importance of individual agency in the creation and interpretation of social structures.
F. Refers to the concept of shared cultural values and norms that serve to unite a society and foster a sense of belonging.
G. Is the belief in the inherent superiority of one's own ethnic group or culture.
H. Refers to the social and economic system in which assets and income are primarily held by the government.
I. Is a perspective that views society as a set of interdependent parts, each of which serves a function for the overall stability and survival of the society.
J. Refers to the systematic study of how humans understand and interpret the world around them.",images/validation_Sociology_18_1.png,1,
validation_Public_Health_11,"The results of studies observing the relationship between smoking and lung cancer are shown in the table below, what can be calculated from these data? <image 1>","A. PAR
B. AR
C. RR
D. OR",D. OR,"E. CI
F. HR
G. IR
H. PR
I. IRR
J. SR",images/validation_Public_Health_11_1.png,,
validation_Economics_16,A recent study found that the demand and supply schedules for Frisbees are as follows:<image 1> Frisbee manufacturers persuade the government that Frisbee production improves scientists' understanding of aerodynamics and thus is important for national security. A concerned Congress votes to impose a price floor $2 above the equilibrium price. What is the new market price?,"A. 8
B. 9
C. 10
D. 11",C. 10,"E. 12
F. 7
G. 6
H. 13
I. 5
J. 14",images/validation_Economics_16_1.png,1,
validation_Art_Theory_30,"<image 1> On the basis of style, this work can be attributed to","A. Paul Cézanne
B. Claude Monet
C. José María Velasco
D. Vincent van Gogh",D. Vincent van Gogh,"E. Pablo Picasso
F. Salvador Dali
G. Leonardo da Vinci
H. Henri Matisse
I. Edgar Degas
J. Pierre-Auguste Renoir",images/validation_Art_Theory_30_1.png,1,
validation_Architecture_and_Engineering_26,"A, B and C are three visible stations in a hydrographic survey. The computed sides of the triangle ABC are AB = 1200 m, BC = 1442 m and CA = 1960 m. A station O is established outside the triangle and its position is to be determined by resection on A, B and C, the angle AOB and BOC being respectively 45°30' and 52°15'. Determine distances of OA and OC, if O and Bare on the opposite sides of line AC.<image 1>","A. AO = 884.49 m,CO = 1644 m
B. AO = 884.49 m,CO = 1624 m
C. AO = 885.49 m,CO = 1634 m
D. AO = 884.49 m,CO = 1634 m","D. AO = 884.49 m,CO = 1634 m","E. AO = 890.49 m, CO = 1645 m
F. AO = 880.49 m, CO = 1654 m
G. AO = 884.49 m, CO = 1654 m
H. AO = 890.49 m, CO = 1624 m
I. AO = 880.49 m, CO = 1624 m
J. AO = 885.49 m, CO = 1624 m",images/validation_Architecture_and_Engineering_26_1.png,1,
