Saturated steam at 30 psig and 50\textdegreeF is flowing through a 2-in OD pipe. Calculate the rate of heat transfer when (a) the pipe is surrounded by air at 55\textdegreeF (b) the pipe is surrounded by water at 55\textdegreeF. Assume the emissivity of the pipe surface as 0.9.,"363.8 Btu/hr-ft in air, 25,342 Btu/hr-ft in water","500 Btu/hr-ft in air, 25,000 Btu/hr-ft in water","400 Btu/hr-ft in air, 30,000 Btu/hr-ft in water","350 Btu/hr-ft in air, 20,000 Btu/hr-ft in water",A,stemez-Thermodynamics,engineering.csv,downloaded_html_data/Thermodynamics/1D13-0439.htm
Calculate the mass rate of flow of air through a pipeline with an inside diameter of 3.5 in. if the average velocity of air at 80\textdegreeF and 20 psia is 110 ft/min.,0.845 lbm/min,0.654 lbm/min,0.733 lbm/min,0.812 lbm/min,C,stemez-Thermodynamics,engineering.csv,downloaded_html_data/Thermodynamics/1D03-0076.htm
"An insulated tank with a volume of 0.5m^3 contains air at 100 kPa and 25\textdegreeC. The tank is connected through a valve to a large compressed air line. The air in the line is maintained at 700 kPa and 120\textdegreeC. The valve is then opened and air is allowed to flow into the tank until the tank pressure becomes 500 kPa. At that point the valve is closed. Determine the mass of air that enters, and the final temperature of the air in the tank.",1.8499 kg and 470.88°C,1.2656 kg and 197.73°C,0.5843 kg and 298.15°C,1.2656 kg and 470.88°C,B,stemez-Thermodynamics,engineering.csv,downloaded_html_data/Thermodynamics/1D03-0099.htm
"An air standard Carnot cycle has a constant highest compression ratio R_c and lower temperature T_1. If the isentropic compression ratio r is variable, determine the required condition for the maximum work in terms of this ratio.",(k - 1) ln(R_c / r) + (2 / r^k-1) - 1 = 0,(k - 2) ln(R_c / r) + (1 / r^k-1) - 1 = 0,(k - 1) ln(R_c / r) + (1 / r^k-1) - 1 = 0,(k + 1) ln(R_c / r) - (1 / r^k-1) + 1 = 0,C,stemez-Thermodynamics,engineering.csv,downloaded_html_data/Thermodynamics/1D09-0272.htm
"An air refrigeration system operating on a Bell-Coleman cycle is required to produce 3 tons of refrigeration with a cooler pressure of 70 psia and a refrigerator pressure of 14.7 psia. The temperature of air leaving the cooler is 70\textdegreeF and the air leaving the room is 30\textdegreeF. If the machine runs at 140 working strokes per minute, determine (a) the horse power required, and (b) the volumes of compression and expansion cylinders.","Horsepower required: 9.1 hp, Volume of compression cylinder: 1.5 ft^3, Volume of expansion cylinder: 1.1 ft^3","Horsepower required: 8.5 hp, Volume of compression cylinder: 1.3 ft^3, Volume of expansion cylinder: 1.2 ft^3","Horsepower required: 7.97 hp, Volume of compression cylinder: 1.46 ft^3, Volume of expansion cylinder: 1.01 ft^3","Horsepower required: 7.5 hp, Volume of compression cylinder: 1.4 ft^3, Volume of expansion cylinder: 1 ft^3",C,stemez-Thermodynamics,engineering.csv,downloaded_html_data/Thermodynamics/1D09-0299.htm
"A mixture of 21% O_2 and 79% N_2 is cooled to 80\textdegreeK, 0.1 MPa pressure. Determine the composition of the liquid and vapor phases for this condition. Use the Raoult's Rule - Ideal Gas model to solve the problem.","x_(N)2 = 0.55, y_(N)2 = 0.89","x_(N)2 = 0.65, y_(N)2 = 0.89","x_(N)2 = 0.65, y_(N)2 = 0.79","x_(N)2 = 0.75, y_(N)2 = 0.89",B,stemez-Thermodynamics,engineering.csv,downloaded_html_data/Thermodynamics/1D10-0309.htm
"In a pneumatic lift air is initially contained in a 10 ft^3 steel tank at 80\textdegreeF and 100 psia. Lifting occurs when a valve allows this air into a cylinder which initially contains air at 1 atm, 60\textdegreeF. The cylinder has an initial volume of 0.5 ft^3, a cross sectional area of 1 ft^2 and a lifting height of 3 ft. A cylinder pressure of 50 psia is maintained while the load is lifted up 3 ft. Air continues to flow into the cylinder after the load has reached the maximum lifting height and finally the pressure in the tank and cylinder will be equal and the air will attain a uniform temperature of 60\textdegreeF. (a) Calculate the final air temperature. (b) Calculate the amount of energy transferred as heat from the tank walls to the air.",0 Btu,11.3 Btu,16.5 Btu,27.8 Btu,B,stemez-Thermodynamics,engineering.csv,downloaded_html_data/Thermodynamics/1D03-0098.htm
"A 3 inch schedule 40 pipe is covered with two layers of insulations. The inner layer (k_1 = 0.050) is 2 inches thick and the outer layer (k_2 = 0.037) is 1(1/4) inches thick. Calculate the heat loss, in Btu/hr per unit length, if the outer surface temperature of the pipe is 670\textdegreeF and the outer surface temperature of the outer layer of insulation is 100\textdegreeF.",200.0 Btu/hr per foot length of pipe,120.5 Btu/hr per foot length of pipe,155.3 Btu/hr per foot length of pipe,175.6 Btu/hr per foot length of pipe,C,stemez-Thermodynamics,engineering.csv,downloaded_html_data/Thermodynamics/1D13-0428.htm
"Calculate the constant-pressure heat capacity, C_p and entropy, S of ideal gaseous fluoroform, CHF_3, at 25\textdegreeC and 1 atm. The following data are available C-H bond length: 1.096 \AA C-F bond length: 1.330\AA Each of the bond angles (F-C-F and F-C-H) is very close to the tetrahedral value of 109\textdegree 28'. The vibrational wave numbers are \omega_1 = 3, 035.6 cm^-1 , \omega_2 = 1,209 cm^-1, \omega_3 = 703.2 cm^-1, \omega_4 (2) = 1,351.5 cm^-1, \omega_5 (2) = 1,152.4 cm^-1 and \omega_6 (2) = 509.4 cm^-1. The last three modes are doubly degenerate.","C_P= 9.06 cal mole^-1 	extdegreeK^-1, S= 60.58 cal mole^-1 	extdegreeK^-1","C_P= 10.06 cal mole^-1 	extdegreeK^-1, S= 62.58 cal mole^-1 	extdegreeK^-1","C_P= 9.06 cal mole^-1 	extdegreeK^-1, S= 61.58 cal mole^-1 	extdegreeK^-1","C_P= 8.06 cal mole^-1 	extdegreeK^-1, S= 61.58 cal mole^-1 	extdegreeK^-1",C,stemez-Thermodynamics,engineering.csv,downloaded_html_data/Thermodynamics/1D14-0467.htm
Steam is flowing through a nozzle with a velocity of 1800 ft/sec at an angle of 18 deg with the rotational plane. The turbine blade has a peripheral velocity of 900 ft/sec and has the same entrance and exit angles. Compute the work done per pound of steam per second and the steam exit condition. Assume that ten percent of the initial kinetic energy relative to the blade is transformed into enthalpy by the friction of the water vapor passing over the blade.,"50 Btu/(lb/sec), 1.5 Btu","65 Btu/(lb/sec), 2.5 Btu","56.9 Btu/(lb/sec), 1.9 Btu","60 Btu/(lb/sec), 2.0 Btu",C,stemez-Thermodynamics,engineering.csv,downloaded_html_data/Thermodynamics/1D12-0416.htm
Air at 14 psia and 80\textdegreeF is allowed into a compressor having an efficiency of 70 per cent and a pressure ratio of 3. Calculate the irreversibility per pound of air.,12.5 Btu/lbm,10.8 Btu/lbm,14.15 Btu/lbm,16.2 Btu/lbm,C,stemez-Thermodynamics,engineering.csv,downloaded_html_data/Thermodynamics/1D05-0148.htm
"A Carnot heat engine cycle using steam as the working fluid operates between the temperatures 560\textdegreeF and 70\textdegreeF. All the processes are steady-state steady-flow. The fluid states at the beginning and end of the isothermal heat-addition process are saturated liquid and saturated vapor, respectively. Calculate the thermal efficiency of the cycle and the ratio of turbine work to compressor work.","Thermal efficiency: 50%, Turbine to compressor work ratio: 3.00","Thermal efficiency: 54%, Turbine to compressor work ratio: 3.12","Thermal efficiency: 48%, Turbine to compressor work ratio: 2.88","Thermal efficiency: 47%, Turbine to compressor work ratio: 2.75",C,stemez-Thermodynamics,engineering.csv,downloaded_html_data/Thermodynamics/1D09-0270.htm
"A cooling tower 150,000 lbm/hr of water from 110\textdegreeF to 85\textdegreeF, by an unsaturated air mixture which center the tower at 80\textdegreeF and 60% relative humidity, and leaves at 100\textdegreeF and 90% relative humidity. Determine the rate of air flow and the quantity of water evaporated per hour.","Rate of air flow is 110000 lbm/hr, quantity of water evaporated is 2800 lbm/hr","Rate of air flow is 120327 lbm/hr, quantity of water evaporated is 3002 lbm/hr","Rate of air flow is 130000 lbm/hr, quantity of water evaporated is 3200 lbm/hr","Rate of air flow is 125000 lbm/hr, quantity of water evaporated is 3100 lbm/hr",B,stemez-Thermodynamics,engineering.csv,downloaded_html_data/Thermodynamics/1D10-0336.htm
A piston-cylinder system is used to compress 2 lbm of a gas from 14 ft^3 to a volume of 9 ft^3 at a constant pressure of 2000 lbf/ft^2. It is found that the internal energy decreases by 6000 ft-lbf during the process. Calculate the amount of heat transferred to or from the gas during the compression.,"16,000 ft-lbf of energy was transferred as heat from the gas","12,000 ft-lbf of energy was transferred as heat from the gas","14,000 ft-lbf of energy was transferred as heat from the gas","18,000 ft-lbf of energy was transferred as heat from the gas",A,stemez-Thermodynamics,engineering.csv,downloaded_html_data/Thermodynamics/1D03-0058.htm
"The figure shows a system having a paddle wheel which does work. The system is adiabatic and at constant pressure. It contains 0.3 lbm of air at 20 psia, and after it receives 14,004 ft-lbf of work the temperature rises from 500\textdegreeR to 750\textdegreeR. Calculate a) the total work, b) the mechanical work, c) the changes in internal energy and d) the enthalpy change for the system.","Total work: 4.0 Btu, Mechanical work: -15.0 Btu, Changes in internal energy: 10.0 Btu, Enthalpy change: 25.0 Btu","Total work: 6.0 Btu, Mechanical work: -10.0 Btu, Changes in internal energy: 15.0 Btu, Enthalpy change: 20.0 Btu","Total work: 5.13 Btu, Mechanical work: -12.87 Btu, Changes in internal energy: 12.87 Btu, Enthalpy change: 18.0 Btu","Total work: 7.0 Btu, Mechanical work: -13.0 Btu, Changes in internal energy: 14.0 Btu, Enthalpy change: 22.0 Btu",C,stemez-Thermodynamics,engineering.csv,downloaded_html_data/Thermodynamics/1D03-0064.htm
"Compute the rate of radiant heat transfer to a spherical meat ball, 8 in. dia., at a temperature of 70\textdegreeF, placed in a cubical oven, of side 2 ft., at 400\textdegreeF. The emissivity of the walls of the oven is 0.8. The meat ball is wrapped in an aluminium foil having an emissivity of 0.1.",108 Btu/hr,120 Btu/hr,90 Btu/hr,100 Btu/hr,A,stemez-Thermodynamics,engineering.csv,downloaded_html_data/Thermodynamics/1D13-0459.htm
"Ethylene gas enters a turbine at 225 atm, 338.4\textdegreeK and expands reversibly and adiabatically to a final pressure of 100 atm. What is the temperature of the gas at the exit of the turbine?",580	extdegreeR,530	extdegreeR,560	extdegreeR,550	extdegreeR,D,stemez-Thermodynamics,engineering.csv,downloaded_html_data/Thermodynamics/1D07-0234.htm
"Air at 30\textdegreeC, 200 kPa enters a nozzle in steady flow. The nozzle discharges into a space which is at a pressure of 100 kPa. Determine (a) the maximum velocity at the nozzle exit, and (b) the exit velocity if the nozzle has an efficiency of 95%.","(a) 320 m/sec, (b) 310 m/sec","(a) 330.76 m/sec, (b) 322.38 m/sec","(a) 340.76 m/sec, (b) 332.38 m/sec","(a) 320.56 m/sec, (b) 310.98 m/sec",B,stemez-Thermodynamics,engineering.csv,downloaded_html_data/Thermodynamics/1D04-0128.htm
"a) Using the first law of thermodynamics, along with the continuity equation, show that for an isentropic process the velocity of sound in a fluid is given by the relation c^2 = (\partialP / \partial\rho)_s Using the result obtained in part (a) derive a relation for the speed of sound in a fluid, undergoing an isentropic process, in terms of its density and adiabatic compressibility \beta_s","c = \surd[(eta_s / 
ho)]","c = \surd[(1 / 
hoeta_s)]","c = \surd[(1 / eta_s
ho)]","c = \surd[(eta_s
ho)]",C,stemez-Thermodynamics,engineering.csv,downloaded_html_data/Thermodynamics/1D06-0191.htm
"Methane (CH_4) undergoes a steady-flow isobaric process and as a result its temperature changes from 688\textdegreeR to 516\textdegreeR. If the pressure is 1346 psia, determine the change in specific entropy by using the generalized entropy deviation chart. Table 1: Empirical Equations for Specific Heat Capacities of the Ideal Gas State\textasteriskcentered c_p = A + BT + CT^2 + [D / (T)^(1/2)], Btu/lb_m\textdegreeF c_V = c_p (R/J), Btu/lb_m\textdegreeF",- 0.150 Btu/lbm-°R,- 0.200 Btu/lbm-°R,- 0.169 Btu/lbm-°R,- 0.190 Btu/lbm-°R,C,stemez-Thermodynamics,engineering.csv,downloaded_html_data/Thermodynamics/1D07-0232.htm
"Air at 70\textdegreeF and 90 psia is enclosed inside an insulated cylinder, as shown in the figure, by a piston having a cross sectional area of 25 in^2. Initially the piston is held stationary by a stop and has a weight of 125 lbf on it. The piston is then released and moves upwards. Calculate the change of entropy produced by the process resulting from the piston release.",0.082 Btu/lbm - R,0.0862 Btu/lbm - R,0.0806 Btu/lbm - R,0.092 Btu/lbm - R,B,stemez-Thermodynamics,engineering.csv,downloaded_html_data/Thermodynamics/1D04-0117.htm
"A Carnot engine operates between the temperatures 1000\textdegreeF and 50\textdegreeF, producing 120 Btu of work. Calculate the heat input to the engine.",1460 Btu,510 Btu,184.4 Btu,120 Btu,C,stemez-Thermodynamics,engineering.csv,downloaded_html_data/Thermodynamics/1D04-0102.htm
"Helium initially at 300\textdegreeK and 12.2 Bar, enters an adiabatic and reversible compressor and is continuously compressed to a pressure of 182.4 Bar. Determine the outlet temperature of the gas, and calculate the amount of work per mole of helium that must be supplied to the compressor, in order to maintain an outlet pressure of 182.4 Bar if (a) helium behaves as an ideal gas, and (b) according to the equation of state Pv = [RT + {b - (a/T)}]P where a = 0.385 m^3 \textdegreeK/kg mol b = 0.0153 m^3/kg mol Assume constant specific heats.","Outlet temperature: 700K, Work per mole: - 1.50 × 10^7 J/kg-mol","Outlet temperature: 800K, Work per mole: - 1.10 × 10^7 J/kg-mol","Outlet temperature: 900K, Work per mole: - 2.22 × 10^7 J/kg-mol","Outlet temperature: 886K, Work per mole: - 1.22 × 10^7 J/kg-mol",D,stemez-Thermodynamics,engineering.csv,downloaded_html_data/Thermodynamics/1D07-0216.htm
"Freon-12 is compressed in an adiabatic steady-state, steady flow process from an initial state of 0.30 MPa, 0\textdegreeC to a final pressure of 1.40 MPa. If 7.2 kJ/sec is the work required for this compression process, determine the efficiency of the compressor assuming a mass flow rate of 0.2 kg/s.",70.50%,76.46%,82.20%,64.35%,B,stemez-Thermodynamics,engineering.csv,downloaded_html_data/Thermodynamics/1D04-0127.htm
"Calculate the quality and work for a steady flow and nonflow process, when three pounds per second of steam expand isentropically from 300 lbf/in^2, 700\textdegreeF to a final temperature of 200\textdegreeF.","Quality is 90.3%, Work for steady flow is 850 Btu/sec and for nonflow is 710 Btu/sec","Quality is 95.6%, Work for steady flow is 900 Btu/sec and for nonflow is 680 Btu/sec","Quality is 87.5%, Work for steady flow is 800 Btu/sec and for nonflow is 700 Btu/sec","Quality is 93.18%, Work for steady flow is 867.3 Btu/sec and for nonflow is 696.9 Btu/sec",D,stemez-Thermodynamics,engineering.csv,downloaded_html_data/Thermodynamics/1D04-0133.htm
"At the inlet of a turbine, nitrogen enters at 3000 psia and 540\textdegreeR. Assuming the turbine to have an adiabatic efficiency of 80% calculate the actual work required for the turbine.",24.595 Btu/lbm,76.112 Btu/lbm,95.140 Btu/lbm,119.735 Btu/lbm,B,stemez-Thermodynamics,engineering.csv,downloaded_html_data/Thermodynamics/1D04-0132.htm
"A reversible and isothermal compressor is used to continuously compress helium initially at 540\textdegreeR and 12 atm, to a final pressure of 180 atm. Calculate the work per mole of helium needed to operate the compressor, and the quantity of heat to be removed from the compressor if helium is assumed to behave (a) as an ideal gas, or (b) according to the equation of state Pv = RT - (a/T)P + Bp where a = 11.13 \textdegreeR-ft^3/lb-mol b = 0.2445 ft^3/lb-mol R = 1.987 Btu/lb-mol-\textdegreeR","- 2,900 Btu/lb mol",- 2910 Btu/lb mol,34.1 ft^3 atm/lb mol,- 3003 Btu/lb mol,D,stemez-Thermodynamics,engineering.csv,downloaded_html_data/Thermodynamics/1D07-0215.htm
"Steam at 500\textdegreeF and 100 lbf/ir^2 enters a steam turbine with a velocity of 200 ft/sec. The outlet steam has a velocity of 600 ft/sec and a pressure of 20 lbf/in^2. If the process is reversible and adiabatic, calculate the work per pound of steam.",200 Btu/lbm,100 Btu/lbm,150 Btu/lbm,132.5 Btu/lbm,D,stemez-Thermodynamics,engineering.csv,downloaded_html_data/Thermodynamics/1D04-0130.htm
"A cylinder contains 1500 lbm of air initially at 15 psia, 500\textdegreeR. Energy is then added to the air and as a result the temperature increases to 540\textdegreeR. Calculate the entropy creation in the universe, (a) if the energy supplied to the air is from a heat reservoir at 300\textdegreeF alone, and (b) if the energy supplied to the air is from a work reservoir alone. Assume air to behave as an ideal gas with C_v = 0.171 Btu/lbm - \textdegreeR.",6.24 Btu/	extdegreeR and 20.74 Btu/	extdegreeR,6.24 Btu/	extdegreeR and 15.74 Btu/	extdegreeR,7.24 Btu/	extdegreeR and 19.74 Btu/	extdegreeR,6.24 Btu/	extdegreeR and 19.74 Btu/	extdegreeR,D,stemez-Thermodynamics,engineering.csv,downloaded_html_data/Thermodynamics/1D04-0124.htm
Show that the vaporization line and sublimation line for water do not have the same slopes at the triple point.,The slope of the sublimation line is less than that of the vaporization line at the triple point.,The slope of the sublimation line is equal to that of the vaporization line at the triple point.,The slope of the sublimation line is greater than that of the vaporization line at the triple point.,The sublimation and vaporization lines do not intersect at the triple point.,C,stemez-Thermodynamics,engineering.csv,downloaded_html_data/Thermodynamics/1D06-0176.htm
"A high temperature reservoir at 538\textdegreeC is brought into thermal communication with a lower temperature reservoir at 260\textdegreeC, and as a result 1055 kJ of heat are transferred from the high to the low temperature reservoir. Determine the change in entropy of the universe, resulting from the heat-exchange process between the two reservoirs.",-0.68 kJ/	extdegreeK,0.68 kJ/	extdegreeK,1.98 kJ/	extdegreeK,1.30 kJ/	extdegreeK,B,stemez-Thermodynamics,engineering.csv,downloaded_html_data/Thermodynamics/1D04-0119.htm
"Water enters a steady state steady flow adiabatic pump having an efficiency of 70% as saturated liquid at 100\textdegreeF, and leaves the pump at 3000 psia. Assuming the process to be adiabatic, calculate the actual pump work.",-14.3 Btu/lbm,- 8.95 Btu/lbm,-10.5 Btu/lbm,- 12.8 Btu/lbm,D,stemez-Thermodynamics,engineering.csv,downloaded_html_data/Thermodynamics/1D04-0131.htm
"Hydrogen and oxygen liquids are used as fuels for a rocket engine which is designed to operate at a chamber pressure of 15 atmospheres, and the gas feed temperature is - 100 F. Calculate the maximum temperature that can be attained in the combustion chamber when the dissociation is 0.02 and 0.2. Assume a constant pressure combustion and no OH product. Use table (1) for equilibrium constant values.","T≈2000K, T≈3000K","T≈2600K, T≈3100K","T≈2553K, T≈3150K","T≈2500K, T≈3200K",C,stemez-Thermodynamics,engineering.csv,downloaded_html_data/Thermodynamics/1D11-0399.htm
"A pipe is cooled by forced convection from a stream of water flowing at the rate of 20 gal/min. The pipe is 10 ft. long and has an inner diameter of 1 in. The wall surface temperature of the pipe is maintained at 210\textdegreeF. If the water has an entrance temperature of 50\textdegreeF, calculate the exit temperature. Use analogies of (a) Reynolds, (b) Colburn, (c) Prandtl, and (d) von Karman. Assume the flow is fully developed.",111.9°F,95.4°F,104.3°F,103.87°F,D,stemez-Thermodynamics,engineering.csv,downloaded_html_data/Thermodynamics/1D13-0447.htm
"Ethane initially at 1 atm, 317\textdegreeK undergoes a reversible, isothermal steady-flow process until the pressure rises to 68 atm. Using the generalized fugacity chart calculate the work and heat interactions for 1 kg of ethane.","9,060 kJ/kgmol",- 311 kJ/kg,- 613 kJ/kg,302 kJ/kg,C,stemez-Thermodynamics,engineering.csv,downloaded_html_data/Thermodynamics/1D07-0238.htm
"Is it theoretically possible to devise a steady-flow compressor which requires no shaft-power input ii the following conditions are known? Two lbm/sec of CO_2 at 200 psia, 120\textdegreeF are compressed to 300 psia, and emerge at 20\textdegreeF, simply by transferring heat at the rate of 60 Btu/sec from the device to a cold reservoir maintained at - 140\textdegreeF. Potential and kinetic energies are not significant.",The compressor violates the second law of thermodynamics.,It is not possible to build such a compressor.,The compressor violates the first law of thermodynamics.,It is theoretically possible to build such a compressor.,D,stemez-Thermodynamics,engineering.csv,downloaded_html_data/Thermodynamics/1D04-0121.htm
A device compresses isothermally 1 lb mole/hr of ideal gas at 1000\textdegreeR and releases 3000 Btu of heat which is transferred to another 1 lb mole/hr of ideal gas which expands isothermally from 2.72 atm to 1 atm. Is it possible to have such a device? Assume the process to be reversible.,Such a device is possible,Such a device is not possible,The device's possibility is unknown,The device can be possible with modifications,B,stemez-Thermodynamics,engineering.csv,downloaded_html_data/Thermodynamics/1D04-0120.htm
"The adiabatic compression efficiency of an air compressor operating under steady state, steady flow conditions is known to be 70%. Assuming air to behave ideally determine the temperature of the air leaving the compressor and the compression work requirements in kJ/kg, if the conditions at the entrance are 101kPa and 300K, and the pressure of the stream leaving is 505 kPa.","550.21 K, -251.08 kJ/kg","500 K, -275 kJ/kg","600 K, -200 kJ/kg","475.15 K, -300 kJ/kg",A,stemez-Thermodynamics,engineering.csv,downloaded_html_data/Thermodynamics/1D04-0134.htm
"A spherical body, in space, is at a distance of 1 astronomical unit from the sun. Assume the body to be at a uniform temperature and having negligible internal heat generation. Determine the quality of the surface required such that the temperature of the body remains at 300\textdegreeK.",1.33,0.13,0.943,0.86,C,stemez-Thermodynamics,engineering.csv,downloaded_html_data/Thermodynamics/1D13-0456.htm
"A cylinder with a frictionless piston contains 0.05 m^3 of gas at 60 kPa. The spring holding the piston is now in tension. The cylinder is heated until the volume rises to 0.2 m^3 and pressure rises to 180 kPa. Assuming no losses in the system, and the force on the spring to vary linearly with length, compute a) the amount of work done by the gas. b) the amount of work done if the system consists of the gas, the piston and the spring. Assume P_atm = 100kPa.",20kJ and 15kJ,18kJ and 10kJ,18kJ and 15kJ,15kJ and 18kJ,C,stemez-Thermodynamics,engineering.csv,downloaded_html_data/Thermodynamics/1D02-0033.htm
"The figure shows a chamber containing 0.04 m^3 of a gas. The initial pressure which is supplied by weights on the piston is 200 kPa. Keeping this pressure constant the chamber is heated until the volume of the gas is 0.1 m^3. Considering the gas in the chamber as a system, a) calculate the work done by the system. While heating is going on, weights are removed from the piston in such a way that the relation between pressure and volume is given by the expression b) PV = constant = P_1V_1 = P_2V_2 c) PV^1.3 = constant. Calculate the work done in both cases if the initial conditions are the same and the final volume is 0.1 m^3. d) Let the piston be fixed so that the volume remains constant. For the same initial conditions calculate the work done if heat is removed from the system and the pressure drops to 100 kPa.","11.0 kJ, 7.0 kJ, 6.0 kJ, 0","12.5 kJ, 7.5 kJ, 6.5 kJ, 0","10.0 kJ, 6.33 kJ, 5.41 kJ, 1","12.0 kJ, 7.33 kJ, 6.41 kJ, 0",D,stemez-Thermodynamics,engineering.csv,downloaded_html_data/Thermodynamics/1D02-0027.htm
